,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11,Mapped_Route12,Mapped_Route13,Mapped_Route14,Mapped_Route15,Mapped_Route16
Route,Route0,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12,Route13,Route14,Route15,Route16
total_distance_x,130.81104511205902,95.04628513067054,127.00086535927285,84.9233110466804,101.0528915607715,202.76771673568547,180.725060491667,194.57927569767276,153.4429828938105,142.53557781711942,143.00796145671777,139.70911778292827,102.65412156076732,109.22333536475048,98.94274612299907,157.12343261761458,121.89392410476144
left_time,39.499496829772674,59.63082532706483,132.2842308126752,134.4171810628337,174.42229308798625,13.965860526931895,14.894665952821082,2.941779503616184,35.66208213089142,39.48623853702921,12.398753103792913,8.311429264404605,93.6774420897747,57.038752932882375,105.67780558650463,5.940544064239642,8.30769944984008
work_time,440.5005031702273,420.3691746729352,347.7157691873248,345.5828189371663,305.57770691201375,466.0341394730681,465.1053340471789,477.0582204963838,444.3379178691086,440.5137614629708,467.6012468962071,471.6885707355954,386.3225579102253,422.9612470671176,374.32219441349537,474.05945593576035,471.6923005501599
to_dp_time,38.23350200755074,40.11781010436742,63.72009338609686,60.24983999688946,57.63300855173245,133.7965025349286,147.79377987658788,136.13439142351092,110.7692101555162,72.71732263971677,64.61000982817913,90.0806137988451,106.98264873531379,95.8870590181923,125.47526835815613,57.702080758249195,80.36142795852405
P0,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP
P1,안산-1672,안산-428,안산-1767,안산-584,안산-1702,안산-1,안산-1693,안산-1287,안산-1266,안산-1194,안산-1589,안산-1635,안산-198,안산-475,안산-776,안산-1430,안산-1254
P2,안산-1760,안산-442,안산-1716,안산-800,안산-576,안산-1695,안산-1690,안산-1288,안산-1271,안산-1191,안산-174,안산-1626,안산-148,안산-497,안산-609,안산-1428,안산-869
P3,안산-1744,안산-92,안산-1728,안산-529,안산-641,안산-215,안산-1694,안산-1290,안산-1268,안산-1187,안산-57,안산-1633,안산-140,안산-500,안산-787,안산-1419,안산-872
P4,안산-1737,안산-262,안산-1731,안산-789,안산-83,안산-220,안산-1697,안산-1284,안산-1265,안산-1678,안산-10,안산-1644,안산-922,안산-916,안산-676,안산-1367,안산-903
P5,안산-1037,안산-297,안산-1161,안산-777,안산-1247,안산-235,안산-1252,안산-1379,안산-1269,안산-1652,안산-75,안산-1649,안산-921,안산-519,안산-389,안산-1332,안산-868
P6,안산-1087,안산-1457,안산-1157,안산-796,안산-1209,안산-219,안산-1262,안산-1380,안산-114,안산-1665,안산-16,안산-25,안산-685,안산-512,안산-380,안산-1340,안산-880
P7,안산-165,안산-1449,안산-1171,안산-781,안산-1210,안산-243,안산-1248,안산-1388,안산-120,안산-1312,안산-72,안산-20,안산-680,안산-515,안산-403,안산-1359,안산-817
P8,안산-155,안산-1451,안산-1166,안산-750,안산-1197,안산-247,안산-1394,안산-213,안산-117,안산-1297,안산-56,안산-23,안산-678,안산-662,안산-391,안산-1344,안산-808
P9,안산-1201,안산-1440,안산-1433,안산-327,안산-1216,안산-224,안산-1399,안산-467,안산-1019,안산-1761,안산-41,안산-824,안산-940,안산-661,안산-401,안산-1331,안산-814
P10,안산-1214,안산-1468,,안산-314,안산-162,안산-203,안산-1409,안산-461,안산-1009,안산-1730,안산-51,안산-845,안산-700,안산-895,안산-719,안산-1358,안산-821
P11,안산-1224,안산-1538,,안산-324,,,안산-1401,안산-455,안산-999,안산-1725,안산-29,안산-839,안산-691,안산-892,안산-714,안산-1000,안산-823
P12,안산-1219,안산-1587,,안산-958,,,안산-1407,안산-473,안산-1028,안산-1751,안산-77,안산-836,안산-941,안산-657,안산-711,안산-994,안산-638
P13,안산-1232,안산-1581,,안산-952,,,안산-1408,안산-505,안산-976,안산-1741,안산-171,안산-592,안산-938,안산-904,안산-737,안산-106,안산-612
P14,안산-1140,안산-1604,,안산-295,,,안산-1387,안산-501,안산-1013,안산-1303,안산-181,안산-588,안산-496,안산-668,안산-738,안산-971,안산-338
P15,안산-1110,안산-1569,,안산-256,,,,,안산-1029,안산-1746,안산-1483,안산-582,안산-930,안산-666,안산-398,안산-1328,안산-367
P16,안산-1118,안산-1571,,안산-285,,,,,,안산-1720,안산-1504,안산-573,안산-853,안산-664,안산-727,안산-1065,안산-368
P17,안산-1156,안산-1548,,안산-272,,,,,,안산-1733,안산-1481,안산-595,안산-798,안산-672,안산-726,안산-1095,안산-340
P18,안산-1180,안산-1516,,,,,,,,안산-1086,안산-1499,안산-579,안산-707,안산-454,안산-1010,안산-1074,안산-336
P19,안산-1143,안산-1608,,,,,,,,,안산-1471,안산-593,안산-704,안산-864,안산-1022,안산-1058,안산-360
P20,안산-1150,안산-1576,,,,,,,,,,안산-558,안산-881,안산-432,,,안산-359
P21,,안산-1115,,,,,,,,,,안산-557,안산-884,안산-532,,,안산-349
P22,,안산-1119,,,,,,,,,,,,안산-629,,,안산-347
P23,,안산-1121,,,,,,,,,,,,,,,안산-444
P24,,,,,,,,,,,,,,,,,안산-785
P25,,,,,,,,,,,,,,,,,안산-773
