,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11,Mapped_Route12,Mapped_Route13,Mapped_Route14,Mapped_Route15,Mapped_Route16,Mapped_Route17,Mapped_Route18,Mapped_Route19,Mapped_Route20
Route,Route0,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12,Route13,Route14,Route15,Route16,Route17,Route18,Route19,Route20
total_distance_x,167.80615800586867,114.51346508507754,91.93724818319818,117.93450865203762,96.68017965259908,99.50590044418371,103.1598663472066,130.23211890872278,83.3428240123544,93.2575317839747,91.47396737667218,89.33472533900417,82.64595804098091,57.522136790277756,153.32252909121632,154.91458486752265,120.66399350807869,165.54307391569853,124.54824512256963,113.50607994361,106.85755638993837
left_time,7.609903667908597,50.460850683290026,71.24344310606905,76.6187425871761,123.71792107162838,126.34199246258808,126.88655784802074,136.15739420233837,157.54270051580957,177.54009039755036,180.74169197683497,200.82884312819237,247.72071645487546,259.4995549263546,123.77453473268392,97.80712867019446,88.3940076605216,12.447791165666008,3.368810171750539,52.18597160195558,65.2971185701349
work_time,472.3900963320914,429.53914931671,408.75655689393096,403.3812574128239,356.2820789283716,353.6580075374119,353.11344215197926,343.84260579766163,322.45729948419046,302.45990960244967,299.258308023165,279.1711568718076,232.27928354512454,220.50044507364538,356.22546526731605,382.19287132980554,391.6059923394784,467.552208834334,476.6311898282495,427.8140283980444,414.7028814298651
to_dp_time,90.70424125504285,40.111297658303485,59.007717104874104,64.46736309023566,59.7052119015448,74.00897773997077,67.315924731272,67.315924731272,83.11350759085178,125.64291793964485,101.18113776541976,95.1238182614515,62.124400046301126,81.73636332651391,177.38033059080436,128.4352379160004,123.55681399547599,62.943702777100526,109.05847879743938,78.6742183968642,80.19271744397776
P0,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP
P1,안산-175,안산-1532,안산-172,안산-1767,안산-1001,안산-20,안산-1682,안산-1661,안산-942,안산-223,안산-1710,안산-1625,안산-1332,안산-954,안산-4,안산-1699,안산-1250,안산-1283,안산-1704,안산-460,안산-652
P2,안산-168,안산-1528,안산-1475,안산-1716,안산-971,안산-12,안산-1663,안산-1684,안산-876,안산-245,안산-1713,안산-1639,안산-1336,안산-611,안산-1698,안산-1287,안산-1377,안산-105,안산-609,안산-470,안산-84
P3,안산-1485,안산-1618,안산-1494,안산-1728,안산-1024,안산-67,안산-1671,안산-1754,안산-935,안산-145,안산-385,안산-1632,안산-1347,안산-655,안산-1692,안산-249,안산-1385,안산-118,안산-731,안산-688,안산-1218
P4,안산-186,안산-1435,안산-1488,안산-1145,안산-357,안산-80,안산-1686,안산-1757,안산-845,안산-146,안산-395,안산-74,안산-1047,안산-649,안산-1697,안산-250,안산-480,안산-126,안산-719,안산-685,안산-1237
P5,안산-182,안산-1434,안산-1470,안산-1160,안산-346,안산-15,안산-1683,안산-1732,안산-840,안산-137,안산-667,안산-31,안산-1053,안산-633,,안산-253,안산-481,안산-108,안산-716,안산-692,안산-1212
P6,안산-189,안산-1517,안산-1491,안산-1148,안산-341,안산-70,안산-1653,안산-1071,안산-852,안산-919,안산-666,안산-69,안산-1105,안산-628,,안산-1261,안산-469,안산-124,안산-724,안산-697,안산-1230
P7,안산-46,안산-1507,안산-1455,안산-1139,안산-356,안산-37,안산-1680,안산-1060,안산-603,안산-918,안산-663,안산-58,안산-1369,안산-545,,,안산-477,안산-122,안산-713,안산-518,안산-1239
P8,DP,안산-1522,안산-1610,안산-1129,안산-344,안산-316,안산-1302,안산-1084,안산-608,안산-921,안산-893,안산-42,,안산-542,,,안산-492,안산-1345,안산-733,안산-517,안산-1229
P9,안산-1537,안산-1525,안산-1586,안산-1128,안산-540,안산-767,안산-1315,안산-1046,안산-602,안산-925,안산-883,안산-43,,안산-634,,,안산-483,안산-1020,안산-1007,안산-526,안산-1370
P10,안산-1487,안산-1519,안산-1584,안산-1124,안산-549,안산-949,안산-1307,안산-1073,안산-599,안산-1636,안산-867,,,안산-358,,,안산-831,안산-1363,안산-1010,안산-379,안산-1376
P11,안산-1536,안산-1523,안산-1597,안산-289,안산-337,안산-951,안산-1759,안산-1093,안산-834,안산-452,안산-896,,,,,,안산-934,안산-1333,안산-981,안산-927,안산-158
P12,안산-1432,안산-1514,안산-1569,안산-263,안산-334,안산-324,안산-1735,안산-1072,안산-850,,,,,,,,안산-683,안산-1356,안산-1002,안산-902,안산-1223
P13,안산-1509,안산-1109,안산-1599,안산-286,안산-274,안산-317,안산-1742,,안산-847,,,,,,,,안산-695,안산-1326,안산-989,안산-812,안산-101
P14,안산-1520,안산-1136,안산-1592,안산-294,안산-304,안산-414,,,안산-563,,,,,,,,안산-677,안산-1324,안산-997,안산-553,안산-92
P15,,안산-1122,안산-1596,안산-255,안산-262,안산-415,,,안산-581,,,,,,,,안산-694,안산-1329,안산-1012,안산-784,안산-446
P16,,안산-1126,안산-1436,안산-267,안산-266,,,,,,,,,,,,안산-707,안산-1063,안산-1027,안산-786,안산-447
P17,,안산-1177,안산-1437,안산-280,,,,,,,,,,,,,안산-920,안산-1044,안산-726,안산-771,안산-90
P18,,안산-1155,안산-1562,안산-1542,,,,,,,,,,,,,,,안산-710,안산-778,안산-93
P19,,안산-1152,안산-1551,안산-1611,,,,,,,,,,,,,,,안산-332,안산-770,안산-419
P20,,안산-1142,안산-1620,,,,,,,,,,,,,,,,안산-421,안산-412,안산-790
P21,,안산-1168,안산-1561,,,,,,,,,,,,,,,,안산-636,안산-789,안산-355
P22,,,안산-1554,,,,,,,,,,,,,,,,안산-639,안산-795,
P23,,,안산-1550,,,,,,,,,,,,,,,,안산-409,,
P24,,,안산-1558,,,,,,,,,,,,,,,,안산-321,,
